TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes,Année de sortie,Genres,Durée (en min.)
"SHREK 4, IL ETAIT UNE FIN",2013-10-20,TF1,Etats-Unis,8.2922,29.3,Sunday,oui,tt0892791,6.3,231136,2010,"Adventure,Animation,Comedy",93
SANS IDENTITE,2013-03-24,TF1,Allemagne / Royaume-Uni / France,8.35143,31.5,Sunday,non,tt1401152,6.8,271854,2011,"Action,Mystery,Thriller",113
L'AGENCE TOUS RISQUES,2013-02-17,TF1,Etats-Unis,7.6999,29.5,Sunday,oui,tt0429493,6.7,271696,2010,"Action,Adventure,Crime",117
LES PETITS MOUCHOIRS,2013-03-12,M6,France,4.97532,21.0,Tuesday,non,tt1440232,7.1,27479,2010,"Comedy,Drama",154
RAIPONCE,2013-12-23,M6,Etats-Unis,4.50148,16.1,Monday,oui,tt0398286,7.7,511308,2010,"Adventure,Animation,Comedy",100
LE PETIT NICOLAS,2013-02-26,M6,France / Belgique,4.44225,15.1,Tuesday,non,tt1264904,7.1,14377,2009,"Comedy,Family",91
L'APPRENTI SORCIER,2013-12-19,M6,Etats-Unis,3.84995,15.7,Thursday,non,tt0963966,6.1,172348,2010,"Action,Adventure,Family",109
UNE JOURNEE EN ENFER,2013-05-23,M6,Etats-Unis,3.67226,15.3,Thursday,non,tt0112864,7.6,416392,1995,"Action,Adventure,Thriller",128
CAPTAIN AMERICA : FIRST AVENGER,2014-04-27,France 2,Etats-Unis,5.141091,19.3,Sunday,oui,tt0458339,6.9,918040,2011,"Action,Adventure,Sci-Fi",124
LES FEMMES DU 6E ETAGE,2014-03-09,France 2,France,5.081998,18.9,Sunday,non,tt1805297,7.1,10793,2010,Comedy,102
LES AVENTURES DE RABBI JACOB,2014-06-29,France 2,France / Italie,4.904719,19.2,Sunday,non,tt0069747,7.4,15282,1973,"Adventure,Comedy",95
L'AGENCE TOUS RISQUES,2014-12-28,France 2,Etats-Unis,4.431975,16.9,Sunday,oui,tt0429493,6.7,271696,2010,"Action,Adventure,Crime",117
INGLOURIOUS BASTERDS,2014-10-12,France 2,Etats-Unis,4.313789,18.3,Sunday,non,tt0361748,8.4,1642672,2009,"Adventure,Drama,War",153
LE JOUR LE PLUS LONG,2014-06-05,France 3,Royaume-Uni / Etats-Unis,3.486487,16.6,Thursday,non,tt0056197,7.7,60642,1962,"Action,Drama,History",178
LE MUR DE L'ATLANTIQUE,2014-07-03,France 3,France / Italie,3.368301,15.0,Thursday,non,tt0066108,5.8,885,1970,"Comedy,War",107
PIECE MONTEE,2014-09-04,France 3,France,3.309208,13.8,Thursday,non,tt1399677,5.4,787,2010,"Comedy,Romance",93
LE DISCOURS D'UN ROI,2014-02-27,France 3,Royaume-Uni,2.895557,11.4,Thursday,oui,tt1504320,8.0,716601,2010,"Biography,Drama,History",118
MYSTIC RIVER,2014-11-06,France 3,Etats-Unis,2.895557,11.9,Thursday,non,tt0327056,7.9,497264,2003,"Crime,Drama,Mystery",138
IRON MAN 2,2014-03-30,France 4,Etats-Unis,1.831883,7.0,Sunday,non,tt1228705,6.9,889439,2010,"Action,Sci-Fi",124
MADAME DOUBTFIRE,2014-08-17,France 4,Etats-Unis,1.536418,7.4,Sunday,oui,tt0107614,7.1,300042,1993,"Comedy,Drama",125
LA SOUPE AUX CHOUX,2014-04-30,France 4,France,1.477325,5.8,Wednesday,non,tt0083109,6.5,9884,1981,"Comedy,Drama,Sci-Fi",102
SEUL AU MONDE,2014-03-26,France 4,Etats-Unis,1.240953,5.3,Wednesday,non,tt0162222,7.8,655565,2000,"Adventure,Drama,Romance",143
"LE BON, LA BRUTE ET LE TRUAND",2014-08-31,France 4,Italie,1.240953,5.5,Sunday,oui,tt0060196,8.8,837409,1966,"Adventure,Drama,Western",178
POLISSE,2014-11-23,Arte,France,2.718278,10.1,Sunday,non,tt1661420,7.3,15714,2011,"Crime,Drama",127
LE TRAIN SIFFLERA TROIS FOIS,2014-02-02,Arte,Etats-Unis,1.77279,6.3,Sunday,non,tt0044706,7.9,112440,1952,"Drama,Thriller,Western",85
WITNESS,2014-08-31,Arte,Etats-Unis,1.654604,6.5,Sunday,oui,tt0090329,7.4,107596,1985,"Drama,Romance,Thriller",112
UN COEUR EN HIVER,2014-04-27,Arte,France,1.595511,5.9,Sunday,oui,tt0105682,7.6,11026,1992,"Drama,Music,Romance",105
L'HORLOGER DE SAINT-PAUL,2014-02-23,Arte,France,1.595511,5.8,Sunday,oui,tt0071622,7.1,2928,1974,"Crime,Drama",105
JUMANJI,2014-08-14,6ter,Etats-Unis,0.709116,3.7,Thursday,oui,tt0113497,7.1,389288,1995,"Adventure,Comedy,Family",104
TOY STORY 3,2014-03-13,6ter,Etats-Unis,0.472744,1.9,Thursday,non,tt0435761,8.3,917586,2010,"Adventure,Animation,Comedy",103
ERAGON,2014-09-14,6ter,Etats-Unis,0.472744,1.8,Sunday,non,tt0449010,5.1,131870,2006,"Action,Adventure,Family",104
BAD BOYS II,2014-09-07,6ter,Etats-Unis,0.472744,2.0,Sunday,non,tt0172156,6.6,277907,2003,"Action,Comedy,Crime",147
QUI VEUT LA PEAU DE ROGER RABBIT,2014-10-30,6ter,Etats-Unis,0.413651,1.6,Thursday,oui,tt0096438,7.7,222550,1988,"Adventure,Animation,Comedy",104
BLITZ,2014-02-03,C8,Royaume-Uni,1.831883,6.7,Monday,non,tt1297919,6.1,93025,2011,"Action,Adventure,Crime",97
LE CODE A CHANGE,2014-05-15,C8,France,1.477325,6.0,Thursday,non,tt1193088,5.8,2150,2009,"Comedy,Drama",100
LES CANONS DE NAVARONE,2014-06-03,C8,Royaume-Uni,1.359139,6.4,Tuesday,non,tt0054953,7.5,56887,1961,"Action,Adventure,Drama",158
RAMBO 2 - LA MISSION,2014-11-11,C8,Etats-Unis,1.359139,5.0,Tuesday,non,tt0089880,6.5,187156,1985,"Action,Adventure,Thriller",96
RAMBO,2014-11-04,C8,Etats-Unis,1.359139,5.2,Tuesday,non,tt0083944,7.7,284413,1982,"Action,Adventure,Thriller",93
MISSION ALCATRAZ,2014-03-13,CStar,Etats-Unis,0.768209,3.1,Thursday,non,tt0297162,4.6,17090,2002,"Action,Crime,Thriller",98
ROGUE : L'ULTIME AFFRONTEMENT,2014-10-16,CStar,Etats-Unis,0.768209,3.0,Thursday,non,tt0499556,6.2,98371,2007,"Action,Thriller",103
SUPER-HEROS MOVIE,2014-05-01,CStar,Etats-Unis,0.709116,2.8,Thursday,non,tt0426592,4.7,78226,2008,"Action,Comedy,Sci-Fi",75
LE CASSE DU SIECLE,2014-05-29,CStar,Royaume-Uni,0.650023,2.8,Thursday,non,tt0780516,6.7,26946,2007,"Crime,Drama,Thriller",108
LE TEMOIN DU MAL,2014-01-02,CStar,Etats-Unis,0.650023,2.6,Thursday,oui,tt0119099,7.0,96282,1998,"Action,Crime,Drama",124
"MAMAN, J'AI ENCORE RATE L'AVION",2014-03-04,Gulli,Etats-Unis,1.122767,4.5,Tuesday,non,tt0104431,6.9,421859,1992,"Adventure,Comedy,Crime",120
"MAMAN, J'AI RATE L'AVION",2014-02-25,Gulli,Etats-Unis,1.122767,4.2,Tuesday,oui,tt0099785,7.7,684127,1990,"Comedy,Family",103
TOUS A L'OUEST,2014-08-17,Gulli,France,0.768209,3.7,Sunday,oui,tt0792992,6.3,1678,2007,"Adventure,Animation,Comedy",90
THOR ET LES LEGENDES DU VALHALLA,2014-03-11,Gulli,IS / Allemagne / IE,0.768209,2.9,Tuesday,non,tt1241721,5.0,1165,2011,"Adventure,Animation,Comedy",79
POISSON D'AVRIL,2014-03-31,Gulli,France,0.768209,2.9,Monday,non,tt0047358,5.7,308,1954,Comedy,102
L'ARME FATALE III,2014-05-04,TF1 Séries Films,Etats-Unis,0.709116,2.8,Sunday,non,tt0104714,6.7,182192,1992,"Action,Crime,Thriller",118
RETOUR VERS LE FUTUR,2014-05-06,TF1 Séries Films,Etats-Unis,0.709116,2.8,Tuesday,non,tt0088763,8.5,1351822,1985,"Adventure,Comedy,Sci-Fi",116
GLADIATOR,2014-06-22,TF1 Séries Films,Etats-Unis,0.59093,2.9,Sunday,non,tt0172495,8.5,1710946,2000,"Action,Adventure,Drama",155
L'ARME FATALE,2014-09-14,TF1 Séries Films,Etats-Unis,0.59093,2.5,Sunday,non,tt0093409,7.6,283376,1987,"Action,Crime,Thriller",109
LE CERCLE DES POETES DISPARUS,2014-08-14,TF1 Séries Films,Etats-Unis,0.531837,2.9,Thursday,oui,tt0097165,8.1,575079,1989,"Comedy,Drama",128
ROBOCOP,2014-02-02,NRJ12,Etats-Unis,0.886395,3.3,Sunday,non,tt0093870,7.6,291450,1987,"Action,Crime,Sci-Fi",102
ROBOCOP 2,2014-02-02,NRJ12,Etats-Unis,0.886395,7.8,Sunday,non,tt0100502,5.8,95455,1990,"Action,Crime,Sci-Fi",117
LE DERNIER CHEYENNE,2014-01-14,NRJ12,Etats-Unis,0.886395,3.3,Tuesday,non,tt0113617,6.9,6175,1995,"Adventure,Western",118
BRAVEHEART,2014-01-16,NRJ12,Etats-Unis,0.827302,3.6,Thursday,non,tt0112573,8.3,1115558,1995,"Biography,Drama,War",178
MON VOISIN LE TUEUR,2014-11-18,NRJ12,Etats-Unis,0.827302,3.0,Tuesday,non,tt0190138,6.7,131381,2000,"Comedy,Crime",98
X-MEN ORIGINS : WOLVERINE,2014-05-15,TFX,Etats-Unis,1.536418,6.4,Thursday,non,tt0458525,6.5,548965,2009,"Action,Sci-Fi",107
DRAGONS,2014-07-01,TFX,Etats-Unis,1.477325,6.2,Tuesday,non,tt0892769,8.1,826966,2010,"Action,Adventure,Animation",98
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT,2014-01-02,TFX,Etats-Unis,1.300046,4.7,Thursday,oui,tt0486576,5.6,282934,2007,"Action,Adventure,Fantasy",92
RESIDENT EVIL : AFTERLIFE,2014-01-16,TFX,Allemagne / France,1.122767,4.3,Thursday,non,tt1220634,5.8,181968,2010,"Action,Horror,Sci-Fi",96
DAREDEVIL,2014-01-09,TFX,Etats-Unis,1.122767,4.2,Thursday,non,tt3322312,8.6,488579,2015,"Action,Crime,Drama",60
LOIN DU PARADIS,2014-08-24,RMC Story,Etats-Unis,0.354558,1.6,Sunday,oui,tt0297884,7.3,50100,2002,"Drama,Romance",107
"K-19, LE PIEGE DES PROFONDEURS",2014-09-18,RMC Story,Etats-Unis,0.354558,1.6,Thursday,non,tt0267626,6.7,68899,2002,"Drama,History,Thriller",138
MULHOLLAND DRIVE,2014-12-28,RMC Story,Etats-Unis,0.354558,1.4,Sunday,oui,tt0166924,7.9,394290,2001,"Drama,Mystery,Thriller",147
TWISTER,2014-06-29,RMC Story,Etats-Unis,0.354558,1.4,Sunday,non,tt0117998,6.5,240418,1996,"Action,Adventure,Thriller",113
ESPRIT DE FAMILLE,2014-12-18,RMC Story,Etats-Unis,0.295465,1.2,Thursday,non,tt0356680,6.3,78971,2005,"Comedy,Drama,Romance",103
LE TRANSPORTEUR II,2014-03-17,TMC,France,2.009162,7.6,Monday,non,tt0388482,6.3,219158,2005,"Action,Thriller",87
TRUE LIES : LE CAMELEON,2014-12-18,TMC,Etats-Unis,1.831883,7.9,Thursday,non,tt0111503,7.3,288119,1994,"Action,Comedy,Thriller",141
LES VISITEURS,2014-11-13,TMC,France,1.654604,6.5,Thursday,non,tt0108500,7.0,39016,1993,"Comedy,Fantasy",107
L'ENQUETE CORSE,2014-10-02,TMC,France,1.654604,6.6,Thursday,non,tt0380349,5.8,4457,2004,"Action,Comedy,Crime",92
PIRATES DES CARAIBES : LE SECRET DU COFFRE MAUDIT,2014-04-21,TMC,Etats-Unis,1.595511,6.7,Monday,oui,tt0383574,7.4,786441,2006,"Action,Adventure,Fantasy",151
IRON MAN,2014-02-06,W9,Etats-Unis,1.831883,7.8,Thursday,non,tt0371746,7.9,1154324,2008,"Action,Adventure,Sci-Fi",126
STAR WARS : EPISODE 3 - LA REVANCHE DES SITH,2014-12-30,W9,Etats-Unis,1.831883,7.3,Tuesday,oui,tt0121766,7.6,866485,2005,"Action,Adventure,Fantasy",140
RASTA ROCKETT,2014-02-20,W9,Etats-Unis,1.713697,6.8,Thursday,oui,tt0106611,7.0,116615,1993,"Adventure,Comedy,Family",98
STAR WARS : EPISODE 2 - L'ATTAQUE DES CLONES,2014-12-23,W9,Etats-Unis,1.654604,6.9,Tuesday,oui,tt0121765,6.6,777729,2002,"Action,Adventure,Fantasy",142
SOURCE CODE,2014-12-04,W9,Etats-Unis,1.477325,5.5,Thursday,non,tt0945513,7.5,561681,2011,"Action,Drama,Mystery",93
INTOUCHABLES,2014-12-07,TF1,France,13.886855,48.5,Sunday,non,tt1675434,8.5,959679,2011,"Comedy,Drama",112
BIENVENUE CHEZ LES CH'TIS,2014-03-02,TF1,France,11.464042,41.2,Sunday,oui,tt1064932,7.1,45885,2008,"Comedy,Romance",106
LES TUCHE,2014-02-16,TF1,France,8.568485,32.1,Sunday,oui,tt1793931,5.4,4063,2011,Comedy,95
LE PRENOM,2014-12-30,TF1,France,7.977555,30.0,Tuesday,oui,tt2179121,7.3,18997,2012,"Comedy,Drama",109
DIE HARD 4 : RETOUR EN ENFER,2014-03-09,TF1,Etats-Unis,7.386625,30.1,Sunday,non,tt0337978,7.1,426225,2007,"Action,Thriller",128
REBELLE,2014-12-22,M6,Etats-Unis,5.081998,18.2,Monday,oui,tt1217209,7.1,455023,2012,"Action,Adventure,Animation",93
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2014-03-11,M6,Etats-Unis,3.959231,16.4,Tuesday,non,tt0367882,6.2,498809,2008,"Action,Adventure",122
LA GUERRE DES ETOILES,2014-01-28,M6,Etats-Unis,3.841045,15.0,Tuesday,non,tt0076759,8.6,1486805,1977,"Action,Adventure,Fantasy",121
INDIANA JONES ET LA DERNIERE CROISADE,2014-03-04,M6,Etats-Unis,3.722859,15.4,Tuesday,non,tt0097576,8.2,828518,1989,"Action,Adventure",127
BIENVENUE A BORD,2014-04-08,M6,France,3.663766,13.7,Tuesday,non,tt1890377,5.5,1964,2011,Comedy,95
SKYFALL,2015-11-08,France 2,Royaume-Uni,6.815133,26.7,Sunday,non,tt1074638,7.8,744220,2012,"Action,Adventure,Thriller",143
QUANTUM OF SOLACE,2015-11-22,France 2,Royaume-Uni,5.533655,20.2,Sunday,non,tt0830515,6.5,479298,2008,"Action,Adventure,Mystery",106
JACK REACHER,2015-09-13,France 2,Etats-Unis,5.24241,20.9,Sunday,non,tt0790724,7.0,374803,2012,"Action,Thriller",130
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE,2015-10-18,France 2,France / Hongrie / Espagne / Italie,4.892916,17.8,Sunday,oui,tt1597522,5.3,17095,2012,"Adventure,Comedy,Family",110
CASINO ROYALE,2015-11-15,France 2,Royaume-Uni,4.776418,21.1,Sunday,non,tt0381061,8.0,709765,2006,"Action,Adventure,Thriller",144
DE L'AUTRE COTE DU LIT,2015-03-29,France 2,France,4.65992,17.4,Sunday,non,tt1275590,5.5,2882,2008,Comedy,93
PAULETTE,2015-09-27,France 2,France,4.65992,18.1,Sunday,non,tt2215395,6.6,7745,2012,"Comedy,Crime",87
LA FAILLE,2015-02-22,France 2,Etats-Unis,4.485173,17.0,Sunday,oui,tt0488120,7.2,224456,2007,"Crime,Drama,Thriller",113
LE PERE NOEL EST UNE ORDURE,2015-01-04,France 2,France,4.135679,15.3,Sunday,oui,tt0416175,7.8,1520,1985,Drama,86
NIGHT AND DAY,2015-01-18,France 2,Etats-Unis,4.019181,15.2,Sunday,non,tt1013743,6.3,213899,2010,"Action,Adventure,Comedy",109
L'AILE OU LA CUISSE,2015-04-30,France 3,France,3.145446,13.1,Thursday,non,tt0074103,7.2,12760,1976,"Comedy,Family",104
LA SOUPE AUX CHOUX,2015-10-22,France 3,France,2.91245,10.6,Thursday,oui,tt0083109,6.5,9884,1981,"Comedy,Drama,Sci-Fi",102
INDEPENDENCE DAY,2015-11-26,France 3,Etats-Unis,2.795952,11.7,Thursday,non,tt0116629,7.0,620277,1996,"Action,Adventure,Sci-Fi",145
OCEAN'S 13,2015-12-10,France 3,Etats-Unis,2.795952,11.5,Thursday,non,tt0496806,6.9,373988,2007,"Crime,Thriller",122
LES TROIS FRERES,2015-04-16,France 3,France,2.737703,11.0,Thursday,oui,tt0114732,7.2,7661,1995,Comedy,105
UN BALCON SUR LA MER,2015-09-24,France 3,France,2.679454,11.4,Thursday,non,tt1533813,6.2,1815,2010,"Drama,Mystery,Romance",107
PAULINE DETECTIVE,2015-08-25,France 3,France,2.679454,11.4,Tuesday,oui,tt2246909,5.6,487,2012,"Comedy,Crime,Mystery",101
LA GUERRE DES MONDES,2015-02-26,France 3,Etats-Unis,2.562956,10.1,Thursday,oui,tt0407304,6.5,484941,2005,"Action,Adventure,Sci-Fi",117
LE GRAND PARDON,2015-02-12,France 3,France,2.562956,10.6,Thursday,non,tt0082471,5.8,808,1982,"Crime,Drama",130
FANNY,2015-12-29,France 3,France,2.504707,9.8,Tuesday,oui,tt0054866,6.8,2752,1961,"Drama,Romance",134
LE JOUR D'APRES,2015-12-06,France 4,Etats-Unis,1.689221,6.6,Sunday,non,tt0319262,6.5,490649,2004,"Action,Adventure,Sci-Fi",124
LE CINQUIEME ELEMENT,2015-04-29,France 4,France,1.514474,5.9,Wednesday,non,tt0119116,7.6,519572,1997,"Action,Adventure,Sci-Fi",126
LE SEIGNEUR DES ANNEAUX - LE RETOUR DU ROI,2015-03-08,France 4,NZ,1.281478,6.3,Sunday,non,tt0167260,9.0,2042249,2003,"Adventure,Drama,Fantasy",201
LE CINQUIEME ELEMENT,2015-12-02,France 4,France,1.223229,4.7,Wednesday,non,tt0119116,7.6,519572,1997,"Action,Adventure,Sci-Fi",126
MATRIX,2015-06-09,France 4,Etats-Unis,1.16498,4.7,Tuesday,non,tt0133093,8.7,2117215,1999,"Action,Sci-Fi",136
USUAL SUSPECTS,2015-02-15,France 4,Etats-Unis,1.106731,4.2,Sunday,oui,tt0114814,8.5,1172760,1995,"Crime,Drama,Mystery",106
JUMPER,2015-12-13,France 4,Etats-Unis,1.048482,3.7,Sunday,non,tt0489099,6.1,328701,2008,"Action,Adventure,Sci-Fi",88
LE SEIGNEUR DES ANNEAUX - LA COMMUNAUTE DE L'ANNEAU,2015-02-22,France 4,NZ,0.990233,4.5,Sunday,oui,tt0120737,8.9,2071830,2001,"Adventure,Drama,Fantasy",178
LA GUERRE DES MONDES,2015-10-20,France 4,Etats-Unis,0.990233,3.7,Tuesday,oui,tt0407304,6.5,484941,2005,"Action,Adventure,Sci-Fi",117
LES GRANDES VACANCES,2015-07-08,France 4,France / Italie,0.990233,4.4,Wednesday,oui,tt0060475,6.5,3879,1967,"Adventure,Comedy",84
JACKIE BROWN,2015-04-27,France Ô,Etats-Unis,0.524241,2.2,Monday,non,tt0119396,7.5,384568,1997,"Crime,Drama,Thriller",154
RIEN QUE POUR VOS YEUX,2015-04-06,France Ô,Royaume-Uni,0.524241,1.9,Monday,oui,tt0082398,6.7,110829,1981,"Action,Adventure,Thriller",127
L'HOMME DE CHEVET,2015-04-13,France Ô,France,0.465992,1.8,Monday,oui,tt1282155,6.7,1440,2009,"Drama,Romance",92
PAPILLON,2015-12-07,France Ô,BS,0.465992,1.8,Monday,non,tt0070511,8.0,140966,1973,"Biography,Crime,Drama",151
POINT BREAK - EXTREME LIMITE,2015-08-31,France Ô,Etats-Unis,0.465992,1.8,Monday,oui,tt0102685,7.3,209968,1991,"Action,Crime,Thriller",122
SHAFT,2015-10-12,France Ô,Etats-Unis,0.465992,1.7,Monday,non,tt0162650,6.0,81932,2000,"Action,Crime,Thriller",99
LES DIAMANTS SONT ETERNELS,2015-09-28,France Ô,Royaume-Uni,0.465992,1.8,Monday,non,tt0066995,6.5,116937,1971,"Action,Adventure,Thriller",120
ON NE VIT QUE DEUX FOIS,2015-10-05,France Ô,Royaume-Uni,0.407743,1.6,Monday,non,tt0062512,6.8,120525,1967,"Action,Adventure,Thriller",117
DANGEREUSEMENT VOTRE,2015-09-21,France Ô,Royaume-Uni,0.407743,1.7,Monday,non,tt0090264,6.3,107366,1985,"Action,Adventure,Thriller",131
OCTOPUSSY,2015-03-30,France Ô,Royaume-Uni,0.349494,1.4,Monday,non,tt0086034,6.5,115568,1983,"Action,Adventure,Thriller",131
LE VIEIL HOMME ET L'ENFANT,2015-09-21,Arte,France,1.74747,6.6,Monday,non,tt0063771,7.6,2587,1967,"Comedy,Drama",86
LA NUIT NOUS APPARTIENT,2015-02-02,Arte,Etats-Unis,1.514474,5.6,Monday,non,tt0498399,6.8,94418,2007,"Crime,Drama,Thriller",117
TAXI DRIVER,2015-10-26,Arte,Etats-Unis,1.514474,5.9,Monday,oui,tt0075314,8.2,958112,1976,"Crime,Drama",114
"LE TEMPS D'AIMER, LE TEMPS DE MOURIR",2015-02-09,Arte,Etats-Unis,1.397976,5.5,Monday,non,tt0052296,7.6,3839,1958,"Drama,Romance,War",132
UNE FEMME DE MENAGE,2015-09-09,Arte,France,1.456225,5.9,Wednesday,non,tt0291538,6.3,1917,2002,"Comedy,Drama,Romance",91
QUAI DES ORFEVRES,2015-03-16,Arte,France,1.397976,5.1,Monday,non,tt0039739,7.7,6595,1947,"Crime,Drama",106
JEREMIAH JOHNSON,2015-04-26,Arte,Etats-Unis,1.397976,5.3,Sunday,non,tt0068762,7.6,36099,1972,"Adventure,Drama,Western",108
CLASSE TOUS RISQUES,2015-03-22,Arte,France / Italie,1.339727,5.2,Sunday,non,tt0052698,7.5,4637,1960,"Crime,Drama,Romance",103
LES VACANCES DE MONSIEUR HULOT,2015-12-21,Arte,France,1.339727,4.7,Monday,oui,tt0046487,7.3,20753,1953,Comedy,83
CARTOUCHE,2015-12-30,Arte,France / Italie,1.339727,5.5,Wednesday,oui,tt0055832,6.5,3037,1962,"Action,Adventure,Comedy",114
IRON MAN,2015-05-17,6ter,Etats-Unis,0.873735,3.6,Sunday,non,tt0371746,7.9,1154324,2008,"Action,Adventure,Sci-Fi",126
"HELLBOY 2, LES LEGIONS D'OR MAUDITES",2015-03-29,6ter,Etats-Unis,0.640739,2.6,Sunday,non,tt0411477,7.0,291269,2008,"Action,Adventure,Fantasy",120
CARS 2,2015-12-27,6ter,Etats-Unis,0.640739,2.6,Sunday,oui,tt1216475,6.2,229403,2011,"Adventure,Animation,Comedy",106
"X-MEN, L'AFFRONTEMENT FINAL",2015-04-28,6ter,Etats-Unis,0.640739,2.4,Tuesday,non,tt0376994,6.6,554400,2006,"Action,Adventure,Sci-Fi",104
L'INCROYABLE HULK,2015-04-30,6ter,Etats-Unis,0.640739,2.6,Thursday,non,tt0800080,6.6,535607,2008,"Action,Adventure,Sci-Fi",112
X-MEN 2,2015-04-12,6ter,Etats-Unis,0.58249,2.4,Sunday,oui,tt0290334,7.4,591449,2003,"Action,Sci-Fi,Thriller",134
"MAMAN, J'AI ENCORE RATE L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,4.7,Thursday,oui,tt0104431,6.9,421859,1992,"Adventure,Comedy,Crime",120
"MAMAN, J'AI RATE L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,2.3,Thursday,oui,tt0099785,7.7,684127,1990,"Comedy,Family",103
"PERCY JACKSON, LE VOLEUR DE FOUDRE",2015-10-04,6ter,Etats-Unis,0.58249,2.3,Sunday,non,tt0814255,5.9,207267,2010,"Adventure,Family,Fantasy",118
LE VOYAGE EXTRAORDINAIRE DE SAMY,2015-12-29,6ter,Belgique,0.58249,2.2,Tuesday,oui,tt1230204,6.0,8377,2010,"Adventure,Animation,Family",88
HUNGER GAMES,2015-10-11,C8,Etats-Unis,3.028948,12.9,Sunday,non,tt1392170,7.2,1027363,2012,"Action,Adventure,Sci-Fi",142
LE TERRITOIRE DES LOUPS,2015-03-09,C8,Etats-Unis,1.514474,6.1,Monday,non,tt1601913,6.7,267030,2011,"Action,Adventure,Drama",117
SAFE,2015-03-30,C8,Etats-Unis,1.397976,5.1,Monday,non,tt1656190,6.5,120310,2012,"Action,Crime,Thriller",94
LE JOUR OU LA TERRE S'ARRETA,2015-03-02,C8,Etats-Unis,1.281478,4.9,Monday,oui,tt0970416,5.5,181264,2008,"Adventure,Drama,Sci-Fi",104
LE DERNIER REMPART,2015-09-14,C8,Etats-Unis,1.281478,5.4,Monday,non,tt1549920,6.3,147194,2013,"Action,Thriller,Western",107
TANGO ET CASH,2015-04-20,C8,Etats-Unis,1.281478,5.1,Monday,oui,tt0098439,6.4,116188,1989,"Action,Comedy,Crime",104
JUMPER,2015-04-06,C8,Etats-Unis,1.281478,4.5,Monday,oui,tt0489099,6.1,328701,2008,"Action,Adventure,Sci-Fi",88
IDENTITE SECRETE,2015-02-09,C8,Etats-Unis,1.16498,4.4,Monday,non,tt1600195,5.1,84185,2011,"Action,Drama,Mystery",106
L'HOMME DES HAUTES PLAINES,2015-08-24,C8,Etats-Unis,1.106731,4.8,Monday,oui,tt0068699,7.4,66430,1973,"Drama,Mystery,Western",105
SAFE,2015-09-28,C8,Etats-Unis,1.106731,4.6,Monday,non,tt1656190,6.5,120310,2012,"Action,Crime,Thriller",94
LA BATAILLE DES ARDENNES,2015-10-22,CStar,Etats-Unis,0.931984,3.9,Thursday,oui,tt0058947,6.8,18278,1965,"Drama,History,War",167
3H10 POUR YUMA,2015-11-19,CStar,Etats-Unis,0.698988,2.8,Thursday,non,tt0381849,7.6,339412,2007,"Action,Crime,Drama",122
POUR 100 BRIQUES T'AS PLUS RIEN,2015-02-26,CStar,France,0.698988,2.6,Thursday,oui,tt0084526,6.0,981,1982,Comedy,85
WILD WILD WEST,2015-11-26,CStar,Etats-Unis,0.640739,2.6,Thursday,non,tt0120891,4.9,169440,1999,"Action,Comedy,Sci-Fi",106
LE DERNIER DES TEMPLIERS,2015-11-05,CStar,Etats-Unis,0.640739,2.4,Thursday,non,tt0479997,5.4,99690,2011,"Action,Adventure,Fantasy",95
A L'AUBE DU SIXIEME JOUR,2015-06-25,CStar,Etats-Unis,0.640739,2.9,Thursday,non,tt0216216,5.9,129733,2000,"Action,Mystery,Sci-Fi",123
HITMAN,2015-09-03,CStar,Etats-Unis,0.58249,2.5,Thursday,non,tt0465494,6.2,181602,2007,"Action,Crime,Thriller",94
UNE PETITE ZONE DE TURBULENCES,2015-05-07,CStar,France,0.524241,2.4,Thursday,non,tt1376451,5.9,594,2009,Comedy,108
PINOT SIMPLE FLIC,2015-09-24,CStar,France,0.524241,2.2,Thursday,non,tt0087917,5.4,774,1984,"Comedy,Drama",85
LES IMMORTELS,2015-05-14,CStar,Etats-Unis,0.524241,2.1,Thursday,non,tt1253864,6.0,178946,2011,"Action,Drama,Fantasy",110
LES ROIS DE LA GLISSE,2015-10-22,Gulli,Etats-Unis,0.640739,2.3,Thursday,oui,tt0423294,6.7,94661,2007,"Adventure,Animation,Comedy",85
KIRIKOU ET LES BETES SAUVAGES,2015-07-30,Gulli,France,0.58249,2.6,Thursday,oui,tt0455142,6.6,1834,2005,"Adventure,Animation,Family",75
FOURMIZ,2015-11-13,Gulli,Etats-Unis,0.524241,3.1,Friday,non,tt0120587,6.5,166241,1998,"Adventure,Animation,Comedy",83
LES VALEURS DE LA FAMILLE ADDAMS,2015-10-26,Gulli,Etats-Unis,0.524241,2.1,Monday,oui,tt0106220,6.8,115238,1993,"Comedy,Fantasy",94
LE GRINCH,2015-11-27,Gulli,Etats-Unis,0.524241,2.5,Friday,non,tt0170016,6.4,307755,2000,"Comedy,Family,Fantasy",104
